Image: Ball

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	6.083828            	0.156499            	1715837144.000000   	
IT 1                	11.780500           	6.884285            	0.174084            	0.000000            	
IT 2                	11.948647           	6.884285            	0.174084            	0.000000            	
IT 3                	11.948647           	6.884285            	0.174084            	0.000000            	
IT 4                	11.948647           	6.884285            	0.174084            	0.000000            	
IT 5                	11.948647           	6.884285            	0.174084            	0.000000            	
IT 6                	11.948647           	6.884285            	0.174084            	0.000000            	
IT 7                	11.948647           	6.884285            	0.174084            	0.000000            	
IT 8                	11.948647           	6.884285            	0.174084            	0.000000            	
IT 9                	11.948647           	6.884285            	0.174084            	0.000000            	
IT 10               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 11               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 12               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 13               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 14               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 15               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 16               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 17               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 18               	11.948647           	6.884285            	0.174084            	0.000000            	
IT 19               	11.948647           	6.884285            	0.174084            	0.000000            	
