Image: Ellipse

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	5.435176            	0.196185            	1715837144.000000   	
IT 1                	13.443242           	5.307405            	0.196561            	0.000000            	
IT 2                	12.153263           	6.156653            	0.201678            	0.000000            	
IT 3                	12.533901           	5.727246            	0.189563            	0.000000            	
IT 4                	11.662218           	5.896419            	0.193278            	0.000000            	
IT 5                	11.916621           	6.055657            	0.202119            	4.000000            	
IT 6                	10.468380           	6.109916            	0.193501            	4.000000            	
IT 7                	11.406710           	6.486016            	0.204311            	4.000000            	
IT 8                	12.191206           	6.062064            	0.197468            	0.000000            	
IT 9                	10.881462           	6.869782            	0.203270            	0.000000            	
IT 10               	11.046732           	5.639093            	0.194168            	0.000000            	
IT 11               	10.974709           	5.694055            	0.199195            	0.000000            	
IT 12               	10.545606           	5.893641            	0.198656            	0.000000            	
IT 13               	10.854609           	5.915138            	0.199006            	4.000000            	
IT 14               	10.698555           	5.955161            	0.197505            	4.000000            	
IT 15               	10.739014           	6.070598            	0.197800            	0.000000            	
IT 16               	10.739014           	6.070598            	0.197800            	0.000000            	
IT 17               	10.739014           	6.070598            	0.197800            	0.000000            	
IT 18               	10.739014           	6.070598            	0.197800            	0.000000            	
IT 19               	10.739014           	6.070598            	0.197800            	0.000000            	
