Image: Flower

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	19.746901           	4.196430            	1715837144.000000   	
IT 1                	33.435806           	17.722384           	3.845959            	12.000000           	
IT 2                	30.910905           	14.016714           	2.727418            	0.000000            	
IT 3                	30.635108           	13.751191           	2.387115            	8.000000            	
IT 4                	32.089718           	12.297019           	2.226528            	8.000000            	
IT 5                	25.696519           	14.018530           	2.000300            	0.000000            	
IT 6                	25.941380           	13.253169           	1.954285            	9.000000            	
IT 7                	24.126681           	13.233023           	1.719638            	13.000000           	
IT 8                	22.561121           	11.838793           	1.421831            	18.000000           	
IT 9                	24.566340           	10.881160           	1.108575            	29.000000           	
IT 10               	20.385380           	11.184769           	0.892023            	30.000000           	
IT 11               	20.868604           	9.576657            	0.655182            	55.000000           	
IT 12               	19.829722           	11.708238           	0.513990            	21.000000           	
IT 13               	20.614064           	9.986741            	0.381326            	19.000000           	
IT 14               	18.601977           	11.442528           	0.456910            	0.000000            	
IT 15               	20.001508           	10.523115           	0.303687            	0.000000            	
IT 16               	18.940674           	10.809060           	0.286238            	0.000000            	
IT 17               	19.918594           	10.160036           	0.251119            	0.000000            	
IT 18               	18.971724           	10.326104           	0.239100            	0.000000            	
IT 19               	19.961912           	10.151945           	0.234641            	0.000000            	
