Image: Heptagon

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	6.541150            	0.696003            	1715837144.000000   	
IT 1                	11.165080           	7.471061            	0.367622            	4.000000            	
IT 2                	10.481514           	7.205552            	0.299684            	6.000000            	
IT 3                	11.860934           	6.790768            	0.253976            	16.000000           	
IT 4                	13.148878           	6.190854            	0.230771            	0.000000            	
IT 5                	11.736665           	6.731771            	0.231621            	0.000000            	
IT 6                	10.978033           	6.691854            	0.209608            	8.000000            	
IT 7                	11.837424           	6.951288            	0.206982            	8.000000            	
IT 8                	11.973889           	7.006821            	0.212300            	4.000000            	
IT 9                	11.502271           	6.471920            	0.199878            	8.000000            	
IT 10               	12.880336           	6.535101            	0.193741            	4.000000            	
IT 11               	12.231459           	6.349251            	0.194836            	4.000000            	
IT 12               	10.818388           	6.754281            	0.204082            	4.000000            	
IT 13               	11.235160           	6.648209            	0.192280            	8.000000            	
IT 14               	11.371670           	6.307492            	0.185188            	8.000000            	
IT 15               	11.271030           	6.348367            	0.184163            	8.000000            	
IT 16               	11.231703           	6.380945            	0.185453            	8.000000            	
IT 17               	10.893914           	6.460556            	0.186199            	8.000000            	
IT 18               	10.708530           	6.571422            	0.187896            	8.000000            	
IT 19               	10.937989           	6.574600            	0.196143            	8.000000            	
