Image: Pentagon

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	7.607001            	1.027553            	1715837144.000000   	
IT 1                	11.355496           	6.645576            	0.526593            	25.000000           	
IT 2                	13.271101           	6.396275            	0.371815            	15.000000           	
IT 3                	11.808265           	7.356567            	0.359763            	0.000000            	
IT 4                	11.734923           	6.807448            	0.311165            	0.000000            	
IT 5                	11.300560           	6.579304            	0.285465            	0.000000            	
IT 6                	12.236462           	5.883343            	0.256013            	0.000000            	
IT 7                	11.341600           	5.925726            	0.247333            	4.000000            	
IT 8                	10.537677           	6.651578            	0.236143            	8.000000            	
IT 9                	10.998358           	6.101368            	0.230110            	0.000000            	
IT 10               	11.235213           	6.074086            	0.230504            	4.000000            	
IT 11               	11.143274           	6.265923            	0.242491            	0.000000            	
IT 12               	11.533423           	5.630592            	0.210486            	0.000000            	
IT 13               	11.479149           	5.973963            	0.210941            	0.000000            	
IT 14               	11.437775           	5.938286            	0.210638            	0.000000            	
IT 15               	9.790268            	6.100602            	0.204414            	0.000000            	
IT 16               	9.808727            	6.152873            	0.205423            	4.000000            	
IT 17               	9.942017            	6.295315            	0.212230            	0.000000            	
IT 18               	10.172056           	6.270234            	0.216154            	4.000000            	
IT 19               	10.588030           	5.618091            	0.194746            	4.000000            	
