Image: Square

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	11.480422           	1.810239            	1715837144.000000   	
IT 1                	9.824967            	9.453212            	0.726730            	0.000000            	
IT 2                	10.486955           	9.175182            	0.553036            	0.000000            	
IT 3                	10.743954           	7.130762            	0.442518            	0.000000            	
IT 4                	11.002727           	7.951257            	0.427477            	0.000000            	
IT 5                	7.933046            	7.854583            	0.403925            	0.000000            	
IT 6                	8.600281            	7.411910            	0.391586            	0.000000            	
IT 7                	9.393530            	7.762452            	0.390772            	0.000000            	
IT 8                	10.155479           	5.696790            	0.310195            	0.000000            	
IT 9                	9.818651            	6.836780            	0.290372            	0.000000            	
IT 10               	8.009144            	6.424479            	0.298419            	0.000000            	
IT 11               	6.959789            	7.368638            	0.287665            	0.000000            	
IT 12               	8.337517            	6.374108            	0.312271            	0.000000            	
IT 13               	8.379714            	6.931973            	0.298959            	0.000000            	
IT 14               	9.832974            	5.748588            	0.260064            	0.000000            	
IT 15               	9.178686            	5.577421            	0.246278            	0.000000            	
IT 16               	9.687291            	5.383651            	0.233471            	0.000000            	
IT 17               	7.371309            	5.752763            	0.247533            	0.000000            	
IT 18               	6.113962            	5.671471            	0.229968            	0.000000            	
IT 19               	6.655096            	6.057876            	0.237348            	16.000000           	
