Image: Triangle

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	7.731574            	2.548426            	1715837144.000000   	
IT 1                	8.787566            	4.844135            	1.101860            	41.000000           	
IT 2                	10.016346           	4.630308            	0.831909            	24.000000           	
IT 3                	9.257618            	5.280741            	0.677974            	8.000000            	
IT 4                	9.489348            	5.059704            	0.602526            	0.000000            	
IT 5                	9.251973            	4.927188            	0.557395            	0.000000            	
IT 6                	9.358226            	4.896700            	0.527329            	0.000000            	
IT 7                	8.930192            	4.651387            	0.488023            	0.000000            	
IT 8                	8.868566            	4.314315            	0.474494            	0.000000            	
IT 9                	7.589161            	4.730901            	0.424387            	0.000000            	
IT 10               	8.345616            	4.126362            	0.416905            	0.000000            	
IT 11               	7.395993            	4.971559            	0.392557            	0.000000            	
IT 12               	7.581475            	3.962094            	0.357936            	0.000000            	
IT 13               	6.909821            	4.567021            	0.351559            	0.000000            	
IT 14               	6.911337            	4.438989            	0.342358            	0.000000            	
IT 15               	6.031843            	4.690677            	0.345724            	0.000000            	
IT 16               	6.010190            	4.171057            	0.330375            	0.000000            	
IT 17               	5.348056            	4.482347            	0.329599            	0.000000            	
IT 18               	5.534663            	4.160180            	0.320518            	4.000000            	
IT 19               	4.176352            	5.074364            	0.333549            	4.000000            	
