Image: Triangle

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	7.731574            	2.548426            	1828134392.000000   	
IT 1                	-4.683236           	4.282402            	0.662942            	235.000000          	
IT 2                	-2.290336           	4.126206            	0.454495            	264.000000          	
IT 3                	0.294648            	3.912962            	0.368892            	280.000000          	
IT 4                	1.663279            	3.995038            	0.310243            	296.000000          	
IT 5                	2.971367            	4.053462            	0.274150            	312.000000          	
IT 6                	4.322979            	4.080763            	0.257297            	328.000000          	
IT 7                	5.235679            	4.098514            	0.245827            	344.000000          	
IT 8                	6.555545            	4.190254            	0.228242            	360.000000          	
IT 9                	6.865592            	4.431823            	0.276735            	376.000000          	
