Image: Ellipse

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	5.435176            	0.196185            	-1846991496.000000  	
IT 1                	0.265626            	5.317006            	0.196940            	0.000000            	
IT 2                	-0.149778           	5.980656            	0.200493            	26.000000           	
IT 3                	-0.227545           	5.651201            	0.197322            	0.000000            	
IT 4                	-0.184792           	6.530439            	0.200000            	0.000000            	
IT 5                	0.415072            	4.644927            	0.200403            	0.000000            	
IT 6                	-0.037760           	4.895361            	0.208999            	13.000000           	
IT 7                	-0.017638           	5.384763            	0.210830            	14.000000           	
IT 8                	0.667359            	4.438359            	0.203053            	0.000000            	
IT 9                	-0.376163           	5.470418            	0.219498            	8.000000            	
