Image: Flower

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	19.746901           	4.196430            	-1846991496.000000  	
IT 1                	28.387517           	19.952547           	4.792528            	13.000000           	
IT 2                	26.839127           	13.485541           	3.187194            	0.000000            	
IT 3                	19.776805           	10.485823           	1.783711            	0.000000            	
IT 4                	19.464668           	9.618940            	1.024903            	0.000000            	
IT 5                	14.458833           	8.825498            	0.593296            	0.000000            	
IT 6                	10.667389           	7.763578            	0.341302            	50.000000           	
IT 7                	9.932004            	7.016913            	0.315503            	31.000000           	
IT 8                	7.272771            	8.407052            	0.250971            	9.000000            	
IT 9                	8.213216            	7.578902            	0.225775            	7.000000            	
