Image: Heptagon

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	6.541150            	0.696003            	-1846991496.000000  	
IT 1                	2.737225            	6.940172            	0.282163            	0.000000            	
IT 2                	1.882591            	5.677868            	0.208296            	0.000000            	
IT 3                	2.011167            	5.202033            	0.187543            	0.000000            	
IT 4                	2.114588            	5.019748            	0.180871            	0.000000            	
IT 5                	0.749559            	5.748114            	0.183331            	7.000000            	
IT 6                	0.686937            	5.787628            	0.188998            	8.000000            	
IT 7                	1.619958            	5.096872            	0.182147            	0.000000            	
IT 8                	0.860810            	5.037407            	0.186112            	0.000000            	
IT 9                	0.763537            	4.953616            	0.195422            	7.000000            	
