Image: Pentagon

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	7.607001            	1.027553            	-1846991496.000000  	
IT 1                	3.566953            	5.784491            	0.357171            	26.000000           	
IT 2                	1.992194            	5.797884            	0.273048            	13.000000           	
IT 3                	1.203345            	6.114185            	0.253241            	0.000000            	
IT 4                	0.368787            	5.605461            	0.216930            	11.000000           	
IT 5                	-0.105796           	5.286082            	0.205335            	8.000000            	
IT 6                	0.257815            	5.505007            	0.206185            	0.000000            	
IT 7                	0.681461            	5.216643            	0.202849            	0.000000            	
IT 8                	-1.063292           	5.179122            	0.197242            	9.000000            	
IT 9                	-0.586438           	5.625521            	0.210193            	8.000000            	
