Image: Ball

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	6.083828            	0.156499            	215928840.000000    	
IT 1                	3.551629            	5.082494            	0.146714            	0.000000            	
IT 2                	4.087055            	4.569176            	0.161072            	0.000000            	
IT 3                	3.193733            	5.520066            	0.157651            	0.000000            	
IT 4                	0.784752            	6.614442            	0.158645            	16.000000           	
IT 5                	2.497228            	6.159524            	0.167980            	0.000000            	
IT 6                	4.018664            	4.855129            	0.167795            	0.000000            	
IT 7                	1.407115            	5.733528            	0.168259            	8.000000            	
IT 8                	1.452546            	6.473538            	0.174124            	0.000000            	
IT 9                	2.440818            	5.554591            	0.167512            	0.000000            	
