Image: Square

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	11.480422           	1.810239            	215928840.000000    	
IT 1                	3.789615            	8.752566            	0.539147            	0.000000            	
IT 2                	-0.496758           	7.797652            	0.379749            	0.000000            	
IT 3                	0.435575            	6.290872            	0.305665            	0.000000            	
IT 4                	-1.702820           	6.861113            	0.283505            	0.000000            	
IT 5                	0.169616            	5.378687            	0.255511            	0.000000            	
IT 6                	-1.245827           	5.253896            	0.237231            	0.000000            	
IT 7                	-0.916488           	4.657204            	0.234835            	0.000000            	
IT 8                	-0.989159           	3.859543            	0.226084            	0.000000            	
IT 9                	-3.109142           	5.853780            	0.235248            	0.000000            	
