Image: Flower

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	19.746901           	4.196430            	2029423128.000000   	
IT 1                	29.877791           	15.118326           	3.123833            	55.000000           	
IT 2                	29.265893           	14.244328           	2.841437            	33.000000           	
IT 3                	29.757493           	13.453178           	2.411344            	33.000000           	
IT 4                	29.139497           	13.262578           	2.288330            	13.000000           	
IT 5                	29.332730           	12.949903           	2.247245            	9.000000            	
IT 6                	25.321688           	12.938349           	1.914704            	14.000000           	
IT 7                	26.845477           	12.659565           	1.826237            	9.000000            	
IT 8                	23.265131           	10.740945           	1.414107            	9.000000            	
IT 9                	22.248701           	12.473661           	1.344433            	28.000000           	
IT 10               	20.859874           	11.936734           	0.957739            	9.000000            	
IT 11               	20.419528           	11.398683           	0.835305            	9.000000            	
IT 12               	20.078066           	9.864502            	0.585620            	38.000000           	
IT 13               	19.175243           	10.864613           	0.541856            	29.000000           	
IT 14               	19.938102           	9.463474            	0.489606            	24.000000           	
IT 15               	16.634992           	9.893404            	0.465604            	25.000000           	
IT 16               	16.762400           	9.172564            	0.399375            	40.000000           	
IT 17               	16.742449           	8.548571            	0.333423            	53.000000           	
IT 18               	18.411905           	8.455153            	0.332554            	43.000000           	
IT 19               	17.809340           	8.699803            	0.298466            	41.000000           	
