Image: Ball

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	8.841849            	0.104626            	-1125746528.000000  	
IT 1                	11.121950           	9.136601            	0.111846            	39.000000           	
IT 2                	10.257831           	10.021839           	0.102417            	36.000000           	
IT 3                	10.626505           	9.411968            	0.107898            	35.000000           	
IT 4                	9.929325            	10.122569           	0.111399            	24.000000           	
IT 5                	11.476179           	8.871166            	0.111493            	15.000000           	
IT 6                	10.438034           	8.412869            	0.105942            	32.000000           	
IT 7                	10.645247           	9.400311            	0.109042            	35.000000           	
IT 8                	10.376316           	8.845910            	0.108411            	48.000000           	
IT 9                	9.615568            	9.564449            	0.113634            	40.000000           	
IT 10               	9.556980            	10.016719           	0.119833            	35.000000           	
IT 11               	9.420991            	9.312028            	0.113609            	28.000000           	
IT 12               	11.284433           	9.121934            	0.113560            	9.000000            	
IT 13               	9.861192            	8.951383            	0.115874            	40.000000           	
IT 14               	9.701570            	8.612630            	0.109405            	27.000000           	
IT 15               	9.865633            	9.120190            	0.114877            	33.000000           	
IT 16               	9.179479            	9.667172            	0.115613            	24.000000           	
IT 17               	11.041698           	8.607523            	0.117049            	11.000000           	
IT 18               	8.531546            	8.675352            	0.113592            	40.000000           	
IT 19               	9.149580            	9.482173            	0.113023            	37.000000           	
