Image: Flower

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	18.865615           	3.366843            	-1125746528.000000  	
IT 1                	34.120568           	17.941417           	2.598969            	39.000000           	
IT 2                	31.450116           	16.188059           	2.268171            	33.000000           	
IT 3                	28.868217           	13.131332           	1.306998            	21.000000           	
IT 4                	28.768861           	13.476087           	1.058799            	39.000000           	
IT 5                	27.659345           	13.207009           	0.904087            	20.000000           	
IT 6                	23.413642           	12.425786           	0.660625            	33.000000           	
IT 7                	20.946254           	9.989651            	0.482346            	49.000000           	
IT 8                	16.755104           	11.817663           	0.372348            	52.000000           	
IT 9                	16.846816           	11.514924           	0.308450            	36.000000           	
IT 10               	17.090810           	10.668468           	0.248752            	55.000000           	
IT 11               	15.468474           	10.709523           	0.233761            	56.000000           	
IT 12               	15.055497           	11.793491           	0.228216            	36.000000           	
IT 13               	15.341284           	11.066584           	0.197231            	38.000000           	
IT 14               	14.139056           	11.120128           	0.175985            	44.000000           	
IT 15               	15.305330           	11.676933           	0.173346            	26.000000           	
IT 16               	15.369339           	10.978755           	0.159688            	26.000000           	
IT 17               	14.031385           	10.449690           	0.150371            	35.000000           	
IT 18               	13.927442           	9.921684            	0.144452            	30.000000           	
IT 19               	14.459024           	10.889780           	0.140101            	22.000000           	
