Image: Ball

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	6.083828            	0.156499            	-747870464.000000   	
IT 1                	3.551629            	5.082494            	0.146714            	0.000000            	
IT 2                	1.729734            	4.469739            	0.156155            	52.000000           	
IT 3                	0.809535            	6.248145            	0.148956            	36.000000           	
IT 4                	1.403907            	6.818669            	0.171736            	0.000000            	
IT 5                	3.479879            	5.552858            	0.167472            	0.000000            	
IT 6                	1.841495            	4.311189            	0.163784            	33.000000           	
IT 7                	0.347389            	6.173169            	0.168880            	10.000000           	
IT 8                	2.917219            	5.514862            	0.168527            	0.000000            	
IT 9                	1.067653            	5.328427            	0.169706            	33.000000           	
IT 10               	0.544338            	4.418590            	0.174798            	39.000000           	
IT 11               	0.309635            	6.256832            	0.176565            	7.000000            	
IT 12               	2.652196            	5.094664            	0.175149            	0.000000            	
IT 13               	-0.180154           	5.516364            	0.177850            	30.000000           	
IT 14               	0.966443            	4.555117            	0.183536            	21.000000           	
IT 15               	1.383245            	4.977838            	0.181796            	11.000000           	
IT 16               	-0.231607           	5.201665            	0.186560            	20.000000           	
IT 17               	1.264219            	4.849784            	0.185144            	8.000000            	
IT 18               	0.252989            	4.584731            	0.187702            	17.000000           	
IT 19               	-0.253390           	5.154446            	0.192993            	15.000000           	
