Image: Triangle

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	7.731574            	2.548426            	-747870464.000000   	
IT 1                	3.851941            	4.961458            	0.874006            	37.000000           	
IT 2                	4.128344            	3.432576            	0.617523            	38.000000           	
IT 3                	1.231782            	3.893313            	0.502169            	31.000000           	
IT 4                	-1.169966           	4.686089            	0.453114            	25.000000           	
IT 5                	-1.670562           	4.595609            	0.420023            	14.000000           	
IT 6                	-3.134831           	4.279976            	0.371536            	0.000000            	
IT 7                	-3.990851           	3.762747            	0.358775            	12.000000           	
IT 8                	-3.447940           	3.714681            	0.341964            	9.000000            	
IT 9                	-3.804069           	4.064818            	0.334079            	0.000000            	
IT 10               	-4.206784           	3.046256            	0.334819            	0.000000            	
IT 11               	-5.364867           	3.505024            	0.335793            	0.000000            	
IT 12               	-4.306824           	2.761734            	0.344919            	0.000000            	
IT 13               	-4.717257           	2.906647            	0.351481            	0.000000            	
IT 14               	-4.912971           	2.181402            	0.367415            	0.000000            	
IT 15               	-5.313389           	2.587286            	0.398565            	0.000000            	
IT 16               	-6.394617           	2.875463            	0.410875            	0.000000            	
IT 17               	-4.818269           	1.902193            	0.437859            	0.000000            	
IT 18               	-6.570118           	3.107530            	0.470638            	0.000000            	
IT 19               	-6.085213           	2.561105            	0.520183            	0.000000            	
