Image: Square

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	11.480422           	1.810239            	2029423128.000000   	
IT 1                	9.824967            	9.453212            	0.726730            	0.000000            	
IT 2                	9.996139            	8.752566            	0.539147            	0.000000            	
IT 3                	11.001886           	7.068125            	0.418259            	0.000000            	
IT 4                	7.536508            	8.901772            	0.438848            	0.000000            	
IT 5                	7.986284            	9.273664            	0.418617            	0.000000            	
IT 6                	9.255186            	7.127324            	0.383860            	0.000000            	
IT 7                	9.888761            	6.887484            	0.331851            	0.000000            	
IT 8                	6.952939            	6.973299            	0.300177            	28.000000           	
IT 9                	6.891654            	6.697880            	0.310852            	0.000000            	
IT 10               	7.483934            	6.823500            	0.294660            	16.000000           	
IT 11               	8.425726            	6.997584            	0.316140            	0.000000            	
IT 12               	8.517700            	6.628424            	0.302174            	0.000000            	
IT 13               	9.437762            	5.798544            	0.268476            	0.000000            	
IT 14               	6.969421            	5.344967            	0.229089            	28.000000           	
IT 15               	6.919956            	5.342858            	0.232678            	0.000000            	
IT 16               	6.167458            	6.782235            	0.258635            	0.000000            	
IT 17               	6.688150            	6.140346            	0.242413            	16.000000           	
IT 18               	7.263451            	7.497314            	0.307427            	0.000000            	
IT 19               	7.539680            	6.620192            	0.285962            	0.000000            	
