Image: Triangle

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	7.731574            	2.548426            	2029423128.000000   	
IT 1                	7.970184            	5.285298            	1.300556            	40.000000           	
IT 2                	7.898425            	4.844184            	0.944285            	32.000000           	
IT 3                	9.055484            	4.389649            	0.792732            	32.000000           	
IT 4                	8.618923            	3.723416            	0.641841            	32.000000           	
IT 5                	7.611748            	3.885520            	0.577263            	34.000000           	
IT 6                	6.515641            	4.291296            	0.575425            	32.000000           	
IT 7                	6.893652            	3.498328            	0.506047            	30.000000           	
IT 8                	6.078036            	4.099135            	0.523184            	28.000000           	
IT 9                	6.336535            	3.817955            	0.469201            	26.000000           	
IT 10               	5.939151            	4.098336            	0.455472            	24.000000           	
IT 11               	5.843010            	3.680054            	0.432794            	22.000000           	
IT 12               	6.283526            	3.669019            	0.409196            	14.000000           	
IT 13               	5.078104            	4.513163            	0.416694            	13.000000           	
IT 14               	4.415893            	4.066476            	0.374046            	19.000000           	
IT 15               	5.065180            	3.990585            	0.378265            	14.000000           	
IT 16               	4.869047            	3.857681            	0.353109            	13.000000           	
IT 17               	4.378403            	3.937571            	0.357987            	15.000000           	
IT 18               	4.410436            	4.670156            	0.361025            	9.000000            	
IT 19               	4.236058            	3.842866            	0.335238            	7.000000            	
