Image: Square

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	18.319273           	2.209994            	-1125746528.000000  	
IT 1                	10.723497           	12.130816           	0.445306            	0.000000            	
IT 2                	7.678659            	11.586513           	0.340309            	0.000000            	
IT 3                	6.212727            	12.479849           	0.312883            	0.000000            	
IT 4                	6.642984            	10.312976           	0.269820            	0.000000            	
IT 5                	5.772455            	10.115083           	0.235724            	17.000000           	
IT 6                	4.540789            	10.216812           	0.244571            	12.000000           	
IT 7                	6.944377            	9.023392            	0.197761            	0.000000            	
IT 8                	4.453118            	8.803508            	0.200527            	0.000000            	
IT 9                	4.293023            	9.140095            	0.200000            	25.000000           	
IT 10               	4.386274            	9.287981            	0.193517            	14.000000           	
IT 11               	5.096793            	8.109345            	0.180807            	12.000000           	
IT 12               	3.592717            	8.524394            	0.170123            	32.000000           	
IT 13               	4.230215            	7.485362            	0.163708            	30.000000           	
IT 14               	3.286344            	8.029093            	0.163334            	32.000000           	
IT 15               	3.847864            	7.444881            	0.154752            	25.000000           	
IT 16               	3.468926            	7.813062            	0.159122            	20.000000           	
IT 17               	3.596322            	8.050241            	0.161895            	18.000000           	
IT 18               	4.608010            	7.108501            	0.157333            	10.000000           	
IT 19               	3.439007            	7.076505            	0.153288            	19.000000           	
