Image: Triangle

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	9.379327            	2.488984            	-1125746528.000000  	
IT 1                	9.111260            	6.581022            	1.350192            	75.000000           	
IT 2                	9.542820            	5.779178            	0.608656            	65.000000           	
IT 3                	7.622073            	6.153576            	0.492775            	61.000000           	
IT 4                	6.999167            	6.244824            	0.461922            	47.000000           	
IT 5                	6.502498            	5.854535            	0.431844            	39.000000           	
IT 6                	5.179615            	5.545714            	0.375545            	43.000000           	
IT 7                	4.299045            	5.314820            	0.341810            	47.000000           	
IT 8                	3.853729            	5.205011            	0.319043            	39.000000           	
IT 9                	3.183118            	5.076343            	0.293755            	37.000000           	
IT 10               	2.488468            	5.066320            	0.287322            	34.000000           	
IT 11               	2.394435            	5.154784            	0.276034            	30.000000           	
IT 12               	2.225467            	4.815466            	0.256676            	27.000000           	
IT 13               	1.527269            	5.015507            	0.246374            	25.000000           	
IT 14               	1.107278            	5.276757            	0.239265            	24.000000           	
IT 15               	0.822032            	5.176778            	0.235750            	15.000000           	
IT 16               	0.514689            	5.152606            	0.233996            	17.000000           	
IT 17               	-0.507653           	5.425949            	0.225685            	17.000000           	
IT 18               	0.428631            	4.778342            	0.215023            	16.000000           	
IT 19               	-0.946606           	5.715919            	0.224390            	14.000000           	
